2023-04-14 09:16:00,365 INFO    MainThread:2549033 [wandb_setup.py:_flush():76] Configure stats pid to 2549033
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_setup.py:_flush():76] Loading settings from /home/mb14sola/.config/wandb/settings
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_setup.py:_flush():76] Loading settings from /work/projects/project02060/CyBERT/cybert/code/wandb/settings
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run_mlm.py', 'program': 'run_mlm.py'}
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_setup.py:_flush():76] Applying login settings: {'anonymous': 'true', 'api_key': '***REDACTED***'}
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_init.py:_log_setup():507] Logging user logs to /work/projects/project02060/CyBERT/cybert/code/wandb/run-20230414_091600-frhqaq7e/logs/debug.log
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_init.py:_log_setup():508] Logging internal logs to /work/projects/project02060/CyBERT/cybert/code/wandb/run-20230414_091600-frhqaq7e/logs/debug-internal.log
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_init.py:init():547] calling init triggers
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_init.py:init():555] wandb.init called with sweep_config: {}
config: {}
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_init.py:init():595] starting backend
2023-04-14 09:16:00,366 INFO    MainThread:2549033 [wandb_init.py:init():599] setting up manager
2023-04-14 09:16:00,375 INFO    MainThread:2549033 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-14 09:16:00,381 INFO    MainThread:2549033 [wandb_init.py:init():605] backend started and connected
2023-04-14 09:16:00,388 INFO    MainThread:2549033 [wandb_init.py:init():695] updated telemetry
2023-04-14 09:16:00,390 INFO    MainThread:2549033 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-14 09:16:00,724 INFO    MainThread:2549033 [wandb_run.py:_on_init():2176] communicating current version
2023-04-14 09:16:00,763 INFO    MainThread:2549033 [wandb_run.py:_on_init():2185] got version response 
2023-04-14 09:16:00,763 INFO    MainThread:2549033 [wandb_init.py:init():782] starting run threads in backend
2023-04-14 09:16:00,922 INFO    MainThread:2549033 [wandb_run.py:_console_start():2157] atexit reg
2023-04-14 09:16:00,922 INFO    MainThread:2549033 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-14 09:16:00,922 INFO    MainThread:2549033 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-14 09:16:00,923 INFO    MainThread:2549033 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-14 09:16:00,923 INFO    MainThread:2549033 [wandb_init.py:init():824] run started, returning control to user process
2023-04-14 09:16:05,913 WARNING MsgRouterThr:2549033 [router.py:message_loop():77] message_loop has been closed
